ZONE,TRIAL_TYPE,TRIAL,ENTRY_NO,DESIGNATION,GID,CROSS,REP_NO,NOHAV,EHARVE,ROOTL,PEDUNC,RCOLOR,PCOLOR,RFORM,RCONST,FOLIAG,ROOT,COMMER,ROOTEN,YIELDP,HI,YIELDH,YIELDY,CIANA,NPSEL,DMATTE,GERMIN,VIGOR,FLOWER,PHEIGH,RLEVEL,FRAMIF,SLENGT,PSTAKE,ROLLOV
7,6,GY199574,39, SM 2019-   5,57484,BRA  179/,1,3,1,2,1,2,1,2,1,3,3,4,1,2.33,0.57,14.6,10,9,0,22.3,100,4,,230,2,85,5,6,1
7,6,GY199574,40, SM 2020-   1,57492,BRA  192/,1,4,,,,,,,,3,4,,,,,,,,0,,100,3,,200,2,50,5,8,1
7,6,GY199574,41, SM 2021-   9,97765,BRA  239/,1,2,1,2,1,3,,2,1,2,3,2,1,1.3,0.38,5.4,3.7,,0,27.8,100,3,,240,3,145,20,10,1
7,6,GY199574,42, SM 2021-  11,57502,BRA  239/,1,1,1,3,2,3,1,2,1,3,3,4,0,3.2,0.36,6.7,4.6,5,1,31.9,85,3,,280,2,175,15,10,1
7,6,GY199574,43, SM 2021-  12,57503,BRA  239/,1,0,,,,,,,,,,,,,,,,,0,,75,2,,195,0,,50,4,1
7,6,GY199574,44, SM 2021-  13,57504,BRA  239/,1,3,,,,,,,,3,4,,,,,,,,0,,85,3,,245,1,165,30,12,1
7,6,GY199574,45, SM 2023-   6,57512,BRA  255/,1,2,1,2,1,1,1,2,1,3,3,4,0,2.9,0.6,12.1,8.3,7,0,18.3,95,3,,230,0,,5,5,1
7,6,GY199574,46, SM 2023-  10,57515,BRA  255/,1,6,1,2,2,3,1,2,1,3,3,3,0,1.37,0.5,17.1,11.7,9,0,25.5,95,2,,205,1,185,5,4,1
7,6,GY199574,47, SM 2023-  11,32999,BRA  255/,1,1,,,,,,,,3,4,,,,,,,,0,,25,3,,205,1,175,25,6,1
7,6,GY199574,48, SM 2023-  12,57516,BRA  255/,1,4,,,,,,,,3,4,,,,,,,,0,,85,3,,200,1,75,15,8,1
7,6,GY199574,49, SM 2024-   2,57518,BRA  272/,1,3,1,2,2,3,1,2,1,3,3,4,0,2.5,0.47,15.6,10.7,9,0,23.2,85,3,,250,0,,10,8,1
7,6,GY199574,50, SM 2024-   3,57519,BRA  272/,1,4,,,,,,,,3,4,,,,,,,,0,,100,3,,160,0,,5,6,1
7,6,GY199574,51, SM 2026-   4,57523,BRA  293/,1,0,,,,,,,,,,,,,,,,,0,,95,2,,,,,,,
7,6,GY199574,52, SM 2026-   6,97767,BRA  293/,1,2,,,,,,,,3,4,,,,,,,,0,,75,3,,180,1,170,5,6,1
7,6,GY199574,53, SM 2026-   7,57525,BRA  293/,1,0,,,,,,,,,,,,,,,,,0,,65,2,,,,,,,
7,6,GY199574,54, SM 2026-   8,57320,BRA  293/,1,6,,,,,,,,3,4,,,,,,,,0,,100,3,,215,0,,20,6,1
7,6,GY199574,55, SM 2027-  10,57331,BRA  361/,1,3,,,,,,,,3,4,,,,,,,,0,,100,3,,200,0,,5,8,1
7,6,GY199574,56, SM 2027-  11,57332,BRA  361/,1,1,1,2,1,3,1,2,1,3,3,4,0,1.4,0.3,2.9,2,6,0,28,100,3,,170,0,,5,5,1
7,6,GY199574,57, SM 2027-  13,57334,BRA  361/,1,1,1,2,1,3,,2,1,3,3,3,0,1.9,0.46,4,2.7,,0,30.7,100,3,,165,0,,10,3,1
7,6,GY199574,58, SM 2027-  14,57335,BRA  361/,1,2,,,,,,,,4,3,,,,,,,,0,,90,3,,170,0,,20,3,2
7,6,GY199574,59, SM 2028-   6,57345,BRA  532/,1,2,,,,,,,,4,3,,,,,,,,0,,100,3,,185,0,,5,3,2
7,6,GY199574,60, SM 2028-   7,57346,BRA  532/,1,0,,,,,,,,,,,,,,,,,0,,100,4,,,,,,,
7,6,GY199574,61, SM 2028-  11,57350,BRA  532/,1,2,1,2,1,3,1,2,1,3,3,5,0,2.05,0.69,8.5,5.9,6,1,31.8,70,3,,180,2,35,35,6,1
7,6,GY199574,62, SM 2029-  12,57364,COL 1734/,1,0,,,,,,,,,,,,,,,,,0,,85,3,,190,5,40,30,10,1
7,6,GY199574,63, SM 2029-  17,57368,COL 1734/,1,1,1,2,1,3,1,2,1,3,3,4,0,1.8,0.39,3.8,2.6,7,0,28.5,50,3,,245,0,,15,3,1
7,6,GY199574,64, SM 2030-   7,57379,COL 2032/,1,2,,,,,,,,3,4,,,,,,,,0,,55,2,,170,1,120,10,4,1
7,6,GY199574,65, SM 2030-   8,57380,COL 2032/,1,3,1,2,2,2,1,2,1,3,3,2,0,1.57,0.57,9.8,6.7,5,0,23.1,100,2,,190,3,100,5,8,1
7,6,GY199574,66, SM 2030-  10,57382,COL 2032/,1,3,,,,,,,,3,4,,,,,,,,0,,100,2,,160,0,,0,6,1
7,6,GY199574,67, SM 2031-  10,57398,MEX    1/,1,3,,,,,,,,3,4,,,,,,,,0,,100,2,,200,0,,5,8,1
7,6,GY199574,68, SM 2031-  12,57400,MEX    1/,1,2,,,,,,,,3,4,,,,,,,,0,,100,3,,190,0,,0,4,1
7,6,GY199574,69, SM 2031-  15,57402,MEX    1/,1,1,,,,,,,,3,4,,,,,,,,0,,100,3,,215,0,,10,6,1
7,6,GY199574,70, SM 2031-  16,57403,MEX    1/,1,4,,,,,,,,3,4,,,,,,,,0,,100,3,,195,0,,5,6,1
7,6,GY199574,71, SM 2031-  17,57404,MEX    1/,1,1,,,,,,,,3,4,,,,,,,,0,,100,3,,185,1,120,5,8,1
7,6,GY199574,72, SM 2031-  19,57406,MEX    1/,1,3,1,2,1,3,1,2,1,3,3,3,0,1.97,0.34,12.3,8.4,5,1,29,100,2,,200,1,165,20,10,1
7,6,GY199574,73, SM 2033-   3,32995,TAI    1/,1,0,,,,,,,,,,,,,,,,,0,,80,2,,140,0,,20,6,1
7,6,GY199574,74, SM 2033-   4,57413,TAI    1/,1,4,,,,,,,,3,4,,,,,,,,0,,100,2,,215,0,,10,16,1
7,6,GY199574,75, SM 2033-   7,57415,TAI    1/,1,2,,,,,,,,3,4,,,,,,,,0,,85,3,,220,0,,10,8,1
7,6,GY199574,76, SM 2033-   9,57417,TAI    1/,1,5,1,2,2,3,1,2,1,3,3,2,0,1.34,0.55,14,9.6,6,0,26.8,95,3,,215,1,140,10,6,1
7,6,GY199574,77, SM 2033-  10,32996,TAI    1/,1,2,1,2,2,3,1,2,1,3,3,5,0,3.5,0.57,14.6,10,7,1,28.2,60,3,,235,1,170,5,12,1
7,6,GY199574,78,BRA   12,7505,,1,0,,,,,,,,,,,,,,,,,0,,100,3,,,,,,,
7,6,GY199574,79,COL   22,3322,,1,1,1,1,1,1,1,2,1,3,4,2,0,0.7,0.54,1.5,1,6,0,25.5,90,3,,175,3,70,10,6,1
7,6,GY199574,80,COL 1468,2588,,1,3,1,2,1,3,1,2,1,4,3,2,6,0.83,0.4,5.2,3.6,7,0,19.2,100,3,,170,1,130,5,3,1
7,6,GY199574,81,COL 1505,2630,,1,2,1,2,1,2,1,2,1,3,3,5,0,2.45,0.57,10.2,7,6,0,25.3,95,3,,175,2,80,13,6,2
7,6,GY199574,82,COL 1684,2826,,1,1,1,3,2,1,2,2,1,4,3,3,0,2.4,0.55,5,3.4,9,0,22.3,100,3,,160,1,60,15,3,1
7,6,GY199574,83,COL 2215,3340,,1,5,1,2,1,3,1,2,1,3,3,1,0,0.82,0.49,8.5,5.9,5,0,30.7,100,3,,210,0,,8,10,2
7,6,GY199574,84,VEN   77,10969,,1,5,1,2,2,3,1,2,1,4,3,2,0,1.22,0.45,12.7,8.7,5,0,18.9,85,3,,170,1,145,0,4,1
7,6,GY199574,546, CG 1141-   1,91847,MEX   11/COL   65,1,6,1,1,1,3,1,2,1,3,4,0,0,0.43,0.25,5.4,3.7,7,0,27.6,100,3,,158,2,93,15,6,2
